ID,Gender,Age,Height,Weight,Body Shape,bkgApose,nobkgApose,bkgStandardPose,nobkgStandardPose,bkgTpose,nobkgTpose,bkgFreePose,nobkgFreePose,MidNeckCircumference,NeckCircumference1,ShoulderWidth,SleeveCircumference,ArmLength-1,BicepsCircumference,WristCircumference,BreastCircumference,UpperBreastCircumference,LowerBreastCircumference,WaistCircumference1,AbodomenCircumference,CoxaCircumference,HipCircumference,ThighCircumference,CalfCircumference,LegLength-1,FrontNeck2HipLength-1,BackNeck2HipLength-1,NeckCircumference-2,ArmLength-2,WaistCircumference-2,LegLength-2,FrontNeck2HipLength-2,BackNeck2HipLength-2,HeightOfChest,DistanceOfChest,NapeToWaist,Knee circumference,WidthOfBack,Coxa2HipBottom,UpperHipCircumference
1245,female,31,158,48,hourglass,1170-25_1.png,NaN,1170-25_2.png,NaN,NaN,NaN,1170-25_7.jpg,NaN,31.5,39.5,38.5,47,50,26.5,14.8,83,82,73,67.5,69.5,78.5,90,49.3,35,90,59,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1246,female,28,162,48,triangle,1171-26_1.png,NaN,1171-26_2.png,NaN,NaN,NaN,1171-26_6.jpg,NaN,31.5,35,39,39.5,51.5,26,15,81,81.5,71.5,70,80,83.5,90,50,32,94.5,62,58.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1247,male,35,165,50,NaN,1172-27_1.png,NaN,1172-27_2.png,NaN,NaN,NaN,1172-27_3.jpg,NaN,34,38,43,39,45,25,15.5,84.5,87,NaN,71,79,84,89,53,34,92,61,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1248,female,32,170,83,triangle,1173-28_1.png,NaN,1173-28_2.png,NaN,NaN,NaN,1173-28_4.jpg,NaN,37,46,45,53,57.5,33,16.2,107.5,103.5,98.5,95.3,102.5,104.5,114,60,42,101,70,65.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1249,female,26,163,54,triangle,1174-29_1.png,NaN,1174-29_2.png,NaN,NaN,NaN,1174-29_4.jpg,NaN,31,34,41,37,50,26,15,86.5,87,77,70,78,82,92,54,35,96,64,57.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1250,male,50,182,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,44,49,53,57.5,31,20,101,103,NaN,96.5,101,102.5,105,59,40,106,72,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1251,male,33,165,70.2,NaN,1175-33_1.png,NaN,1175-33_2.png,NaN,NaN,NaN,1175-33_5.jpg,NaN,38.5,43,47,46,53.5,29,15,95,96.5,NaN,87.5,89,91,95,57,40,95,63,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1252,male,31,169,80,NaN,1176-38_1.png,NaN,1176-38_2.png,NaN,NaN,NaN,1176-38_6.jpg,NaN,42,48,49,43,54,32,17.5,100.5,100,NaN,102,103,101,105,63,39,93,66,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,NaN
1253,female,29,158,97.6,hourglass,1177-39_1.png,NaN,1177-39_2.png,NaN,1177-39_2.png,NaN,1177-39_4.jpg,NaN,32,38,39,40,50,25,14.5,82,82.5,72,67.5,75,80,90,52,33,96,62,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1254,male,20,177,67,NaN,NaN,NaN,1231-1_2.jpg,NaN,NaN,NaN,1231-1_5.jpg,NaN,37,39,44,45,56,30,16,90.5,97.5,NaN,80,77,84.5,95.5,57,37,100,71,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
